JV-1010 PR-C				
				
PC	MSB	LSB	Name	Category
				
1	81	2	Harmon Mute	BRS (AC.BRASS)
2	81	2	Tp&Sax Sect	BRS (AC.BRASS)
3	81	2	Sax+Tp+Tb	BRS (AC.BRASS)
4	81	2	Brass Sect	BRS (AC.BRASS)
5	81	2	Trombone	BRS (AC.BRASS)
6	81	2	Hybrid Bones	BRS (AC.BRASS)
7	81	2	Noble Horns	BRS (AC.BRASS)
8	81	2	Massed Horns	BRS (AC.BRASS)
9	81	2	Horn Swell	BRS (AC.BRASS)
10	81	2	Brass It!	SBR (SYNTH BRASS)
11	81	2	Brass Attack	SBR (SYNTH BRASS)
12	81	2	Archimede	SBR (SYNTH BRASS)
13	81	2	Rugby Horn	SBR (SYNTH BRASS)
14	81	2	MKS-80 Brass	SBR (SYNTH BRASS)
15	81	2	True ANALOG	SBR (SYNTH BRASS)
16	81	2	Dark Vox	VOX (VOX)
17	81	2	RandomVowels	VOX (VOX)
18	81	2	Angels Sing	VOX (VOX)
19	81	2	Pvox Oooze	VOX (VOX)
20	81	2	Longing...	VOX (VOX)
21	81	2	Arasian Morn	VOX (VOX)
22	81	2	Beauty Vox	VOX (VOX)
23	81	2	Mary-AnneVox	VOX (VOX)
24	81	2	Belltree Vox	VOX (VOX)
25	81	2	Vox Panner	VOX (VOX)
26	81	2	Spaced Voxx	VOX (VOX)
27	81	2	Glass Voices	VOX (VOX)
28	81	2	Tubular Vox	VOX (VOX)
29	81	2	Velo Voxx	VOX (VOX)
30	81	2	Wavox	VOX (VOX)
31	81	2	Doos	VOX (VOX)
32	81	2	Synvox Comps	VOX (VOX)
33	81	2	Vocal Oohz	VOX (VOX)
34	81	2	LFO Vox	PLS (PULSATING)
35	81	2	St.Strings	STR (STRINGS)
36	81	2	Warm Strings	STR (STRINGS)
37	81	2	Somber Str	STR (STRINGS)
38	81	2	Marcato	STR (STRINGS)
39	81	2	Bright Str	STR (STRINGS)
40	81	2	String Ens	STR (STRINGS)
41	81	2	TremoloStrng	STR (STRINGS)
42	81	2	Chambers	STR (STRINGS)
43	81	2	ViolinCello	STR (STRINGS)
44	81	2	Symphonique	ORC (ORCHESTRA)
45	81	2	Film Octaves	STR (STRINGS)
46	81	2	Film Layers	ORC (ORCHESTRA)
47	81	2	Bass Pizz	STR (STRINGS)
48	81	2	Real Pizz	STR (STRINGS)
49	81	2	Harp On It	PLK (PLUCKED)
50	81	2	Harp	PLK (PLUCKED)
51	81	2	JP-8 Str 1	STR (STRINGS)
52	81	2	JP-8 Str 2	STR (STRINGS)
53	81	2	E-Motion Pad	SPD (SOFT PAD)
54	81	2	JP-8 Str 3	STR (STRINGS)
55	81	2	Vintage Orch	BPD (BRIGHT PAD)
56	81	2	JUNO Strings	BPD (BRIGHT PAD)
57	81	2	Gigantalog	BPD (BRIGHT PAD)
58	81	2	PWM Strings	BPD (BRIGHT PAD)
59	81	2	Warmth	SPD (SOFT PAD)
60	81	2	ORBit Pad	SPD (SOFT PAD)
61	81	2	Deep Strings	STR (STRINGS)
62	81	2	Pulsify	SPD (SOFT PAD)
63	81	2	Pulse Pad	SPD (SOFT PAD)
64	81	2	Greek Power	BPD (BRIGHT PAD)
65	81	2	Harmonicum	BPD (BRIGHT PAD)
66	81	2	D-50 Heaven	BPD (BRIGHT PAD)
67	81	2	Afro Horns	SBR (SYNTH BRASS)
68	81	2	Pop Pad	SPD (SOFT PAD)
69	81	2	Dreamesque	SPD (SOFT PAD)
70	81	2	Square Pad	SPD (SOFT PAD)
71	81	2	JP-8 Hollow	SPD (SOFT PAD)
72	81	2	JP-8Haunting	SPD (SOFT PAD)
73	81	2	Heirborne	BPD (BRIGHT PAD)
74	81	2	Hush Pad	BPD (BRIGHT PAD)
75	81	2	Jet Pad 1	SPD (SOFT PAD)
76	81	2	Jet Pad 2	SPD (SOFT PAD)
77	81	2	Phaze Pad	SPD (SOFT PAD)
78	81	2	Phaze Str	SPD (SOFT PAD)
79	81	2	Jet Str Ens	SPD (SOFT PAD)
80	81	2	Pivotal Pad	BPD (BRIGHT PAD)
81	81	2	3D Flanged	SPD (SOFT PAD)
82	81	2	Fantawine	BPD (BRIGHT PAD)
83	81	2	Glassy Pad	SPD (SOFT PAD)
84	81	2	Moving Glass	SPD (SOFT PAD)
85	81	2	Glasswaves	SPD (SOFT PAD)
86	81	2	Shiny Pad	SPD (SOFT PAD)
87	81	2	ShiftedGlass	SPD (SOFT PAD)
88	81	2	Chime Pad	SPD (SOFT PAD)
89	81	2	Spin Pad	SPD (SOFT PAD)
90	81	2	Rotary Pad	SPD (SOFT PAD)
91	81	2	Dawn 2 Dusk	SPD (SOFT PAD)
92	81	2	Aurora	SPD (SOFT PAD)
93	81	2	Strobe Mode	PLS (PULSATING)
94	81	2	Albion	PLS (PULSATING)
95	81	2	Running Pad	PLS (PULSATING)
96	81	2	Stepped Pad	PLS (PULSATING)
97	81	2	Random Pad	PLS (PULSATING)
98	81	2	SoundtrkDANC	PLS (PULSATING)
99	81	2	Flying Waltz	PLS (PULSATING)
100	81	2	Vanishing	FX (SYNTH FX)
101	81	2	5th Sweep	BPD (BRIGHT PAD)
102	81	2	Phazweep	PLS (PULSATING)
103	81	2	Big BPF	TEK (TECHNO SYNTH)
104	81	2	MG Sweep	BPD (BRIGHT PAD)
105	81	2	CeremonyTimp	PRC (PERCUSSION)
106	81	2	Dyno Toms	PRC (PERCUSSION)
107	81	2	Sands ofTime	FX (SYNTH FX)
108	81	2	Inertia	FX (SYNTH FX)
109	81	2	Vektogram	FX (SYNTH FX)
110	81	2	Crash Pad	FX (SYNTH FX)
111	81	2	Feedback VOX	FX (SYNTH FX)
112	81	2	Cascade	FX (SYNTH FX)
113	81	2	Shattered	FX (SYNTH FX)
114	81	2	NextFrontier	FX (SYNTH FX)
115	81	2	Pure Tibet	FX (SYNTH FX)
116	81	2	Chime Wash	FX (SYNTH FX)
117	81	2	Night Shade	FX (SYNTH FX)
118	81	2	Tortured	FX (SYNTH FX)
119	81	2	Dissimilate	FX (SYNTH FX)
120	81	2	Dunes	FX (SYNTH FX)
121	81	2	Ocean Floor	FX (SYNTH FX)
122	81	2	Cyber Space	FX (SYNTH FX)
123	81	2	Biosphere	FX (SYNTH FX)
124	81	2	Variable Run	FX (SYNTH FX)
125	81	2	Ice Hall	FX (SYNTH FX)
126	81	2	ComputerRoom	FX (SYNTH FX)
127	81	2	Inverted	FX (SYNTH FX)
128	81	2	Terminate	FX (SYNTH FX)