JV-1010 PR-E				
				
PC	MSB	LSB	Name	Category
				
1	81	4	Echo Piano	PNO (AC.PIANO)
2	81	4	Upright Pno	PNO (AC.PIANO)
3	81	4	RD-1000	PNO (AC.PIANO)
4	81	4	Player's EP	EP (EL.PIANO)
5	81	4	D-50 Rhodes	EP (EL.PIANO)
6	81	4	Innocent EP	EP (EL.PIANO)
7	81	4	Echo Rhodes	EP (EL.PIANO)
8	81	4	See-Thru EP	EP (EL.PIANO)
9	81	4	FM BellPiano	EP (EL.PIANO)
10	81	4	Ring E.Piano	EP (EL.PIANO)
11	81	4	Soap Opera	ORG (ORGAN)
12	81	4	Dirty Organ	ORG (ORGAN)
13	81	4	Surf's Up!	ORG (ORGAN)
14	81	4	Organesque	ORG (ORGAN)
15	81	4	pp Harmonium	ORG (ORGAN)
16	81	4	PieceOfCheez	KEY (KEYBOARDS)
17	81	4	Harpsy Clav	KEY (KEYBOARDS)
18	81	4	Exotic Velo	MLT (MALLET)
19	81	4	HolidayCheer	BEL (BELL)
20	81	4	Morning Lite	BEL (BELL)
21	81	4	Prefab Chime	BEL (BELL)
22	81	4	Belfry Chime	BEL (BELL)
23	81	4	Stacc.Heaven	BEL (BELL)
24	81	4	2.2 Bell Pad	BEL (BELL)
25	81	4	Far East	ETH (ETHNIC)
26	81	4	Wire Pad	SYN (OTHER SYNTH)
27	81	4	PhaseBlipper	SYN (OTHER SYNTH)
28	81	4	Sweep Clav	SYN (OTHER SYNTH)
29	81	4	Glider	SYN (OTHER SYNTH)
30	81	4	Solo Steel	AGT (AC.GUITAR)
31	81	4	DesertCrystl	AGT (AC.GUITAR)
32	81	4	Clear Guitar	EGT (EL.GUITAR)
33	81	4	Solo Strat	EGT (EL.GUITAR)
34	81	4	Feed Me!	DGT (DIST.GUITAR)
35	81	4	Tube Smoke	DGT (DIST.GUITAR)
36	81	4	Creamy	DGT (DIST.GUITAR)
37	81	4	Blusey OD	DGT (DIST.GUITAR)
38	81	4	Grindstone	DGT (DIST.GUITAR)
39	81	4	OD 5ths	DGT (DIST.GUITAR)
40	81	4	East Europe	PLK (PLUCKED)
41	81	4	Dulcitar	PLK (PLUCKED)
42	81	4	Atmos Harp	PLK (PLUCKED)
43	81	4	Pilgrimage	PLK (PLUCKED)
44	81	4	202 Rude Bs	SBS (SYNTH BASS)
45	81	4	2pole Bass	SBS (SYNTH BASS)
46	81	4	4pole Bass	SBS (SYNTH BASS)
47	81	4	Phaser MC	SBS (SYNTH BASS)
48	81	4	Miniphaser	SBS (SYNTH BASS)
49	81	4	Acid TB	SBS (SYNTH BASS)
50	81	4	Full Orchest	ORC (ORCHESTRA)
51	81	4	Str + Winds	ORC (ORCHESTRA)
52	81	4	Flute 2080	FLT (FLUTE)
53	81	4	Scat Flute	FLT (FLUTE)
54	81	4	Sax Choir	SAX (SAX)
55	81	4	Ballad Trump	BRS (AC.BRASS)
56	81	4	Sm.Brass Grp	BRS (AC.BRASS)
57	81	4	Royale	BRS (AC.BRASS)
58	81	4	Brass Mutes	BRS (AC.BRASS)
59	81	4	Breathy Brs	SBR (SYNTH BRASS)
60	81	4	3 Osc Brass	SBR (SYNTH BRASS)
61	81	4	P5 Polymod	SBR (SYNTH BRASS)
62	81	4	Triumph Brs	SBR (SYNTH BRASS)
63	81	4	Techno Dream	TEK (TECHNO SYNTH)
64	81	4	Organizer	TEK (TECHNO SYNTH)
65	81	4	Civilization	TEK (TECHNO SYNTH)
66	81	4	Mental Chord	TEK (TECHNO SYNTH)
67	81	4	House Chord	TEK (TECHNO SYNTH)
68	81	4	Sequalog	TEK (TECHNO SYNTH)
69	81	4	Booster Bips	TEK (TECHNO SYNTH)
70	81	4	VintagePlunk	TEK (TECHNO SYNTH)
71	81	4	Plik-Plok	TEK (TECHNO SYNTH)
72	81	4	RingSequence	TEK (TECHNO SYNTH)
73	81	4	Cyber Swing	TEK (TECHNO SYNTH)
74	81	4	Keep :-)	TEK (TECHNO SYNTH)
75	81	4	Resojuice	TEK (TECHNO SYNTH)
76	81	4	B'on d'moov!	TEK (TECHNO SYNTH)
77	81	4	Dist TB-303	TEK (TECHNO SYNTH)
78	81	4	Temple of JV	PLS (PULSATING)
79	81	4	Planet Asia	PLS (PULSATING)
80	81	4	Afterlife	PLS (PULSATING)
81	81	4	Trancing Pad	PLS (PULSATING)
82	81	4	Pulsatronic	PLS (PULSATING)
83	81	4	Cyber Dreams	PLS (PULSATING)
84	81	4	Warm Pipe	SLD (SOFT LEAD)
85	81	4	Pure Pipe	SLD (SOFT LEAD)
86	81	4	SH-2000	SLD (SOFT LEAD)
87	81	4	X..? Whistle	SLD (SOFT LEAD)
88	81	4	Jay Vee Solo	SLD (SOFT LEAD)
89	81	4	Progresso Ld	HLD (HARD LEAD)
90	81	4	Adrenaline	HLD (HARD LEAD)
91	81	4	Enlighten	VOX (VOX)
92	81	4	Glass Blower	SPD (SOFT PAD)
93	81	4	Earth Blow	SPD (SOFT PAD)
94	81	4	JX SqrCarpet	SPD (SOFT PAD)
95	81	4	Dimensional	SPD (SOFT PAD)
96	81	4	Jupiterings	SPD (SOFT PAD)
97	81	4	Analog Drama	SPD (SOFT PAD)
98	81	4	Rich Dynapad	SPD (SOFT PAD)
99	81	4	Silky Way	SPD (SOFT PAD)
100	81	4	Gluey Pad	SPD (SOFT PAD)
101	81	4	BandPass Mod	SPD (SOFT PAD)
102	81	4	Soundtraque	SPD (SOFT PAD)
103	81	4	Translucence	SPD (SOFT PAD)
104	81	4	Darkshine	SPD (SOFT PAD)
105	81	4	D'light	SPD (SOFT PAD)
106	81	4	December Sky	SPD (SOFT PAD)
107	81	4	Octapad	SPD (SOFT PAD)
108	81	4	JUNO Power!	BPD (BRIGHT PAD)
109	81	4	Spectrum Mod	BPD (BRIGHT PAD)
110	81	4	Stringsheen	BPD (BRIGHT PAD)
111	81	4	GR500 TmpDly	BPD (BRIGHT PAD)
112	81	4	Mod DirtyWav	BPD (BRIGHT PAD)
113	81	4	Silicon Str	BPD (BRIGHT PAD)
114	81	4	D50FantaPerc	BPD (BRIGHT PAD)
115	81	4	Rotodreams	BPD (BRIGHT PAD)
116	81	4	Blue Notes	CMB (COMBINATION)
117	81	4	RiversOfTime	FX (SYNTH FX)
118	81	4	Phobos	FX (SYNTH FX)
119	81	4	2 0 8 0	FX (SYNTH FX)
120	81	4	Unearthly	FX (SYNTH FX)
121	81	4	Glistening	FX (SYNTH FX)
122	81	4	Sci-Fi Str	FX (SYNTH FX)
123	81	4	Shadows	FX (SYNTH FX)
124	81	4	Helium Queen	FX (SYNTH FX)
125	81	4	Sci-Fi FX x4	FX (SYNTH FX)
126	81	4	Perky Noize	PRC (PERCUSSION)
127	81	4	Droplet	SFX (SOUND FX)
128	81	4	Rain Forest	SFX (SOUND FX)