JV-1010 USER				
				
PC	MSB	LSB	Name	Category
				
1	80	0	Tremendously	
2	80	0	St.Concert	
3	80	0	CyberTrance2	
4	80	0	SessionNyln2	
5	80	0	ViennaStrgs3	
6	80	0	R&R Brass	
7	80	0	Velo Power	
8	80	0	Super Tenor	
9	80	0	Breathy Humz	
10	80	0	Ow Bass	
11	80	0	Dunes	
12	80	0	Celestial 2	
13	80	0	Tone Wh.Solo	
14	80	0	Poly Brs	
15	80	0	Combing Slow	
16	80	0	SA Rhodes 5	
17	80	0	Adrenaline	
18	80	0	DanceStack 1	
19	80	0	Flying Waltz	
20	80	0	East Europe	
21	80	0	Silky Way	
22	80	0	Techno Dream	
23	80	0	Raverborg	
24	80	0	Pan Pipes	
25	80	0	Pretty Bells	
26	80	0	Glistening	
27	80	0	Metal Solo	
28	80	0	StateXLChrd2	
29	80	0	Raggatronic	
30	80	0	ChristmasFlt	
31	80	0	Acc.de Paris	
32	80	0	DreamVoices2	
33	80	0	VintageCall2	
34	80	0	Trancing Pad	
35	80	0	OldiesOrgan2	
36	80	0	X..? Whistle	
37	80	0	Analog Drama	
38	80	0	BPF Lead	
39	80	0	Clean Tele	
40	80	0	Earth Blow	
41	80	0	Pulsatronic	
42	80	0	Funky Slap	
43	80	0	Echo Rhodes	
44	80	0	pp Harmonium	
45	80	0	Blue Notes	
46	80	0	Aurora	
47	80	0	Breathy Brs	
48	80	0	Enlighten	
49	80	0	Tube Smoke	
50	80	0	Perelandra	
51	80	0	SquareLead 2	
52	80	0	Shadows	
53	80	0	Organizer	
54	80	0	Full Orchest	
55	80	0	B'on d'moov!	
56	80	0	Sugar Bell 2	
57	80	0	Player's EP	
58	80	0	4pole Bass	
59	80	0	Octapad	
60	80	0	Tria Bells	
61	80	0	Wire Pad	
62	80	0	Singing'Mini	
63	80	0	Heirborne	
64	80	0	Trumpet	
65	80	0	Steel Away	
66	80	0	D-50 Stack	
67	80	0	Solo Strat	
68	80	0	Soap Opera	
69	80	0	Sop.Sax mf	
70	80	0	Dimensional	
71	80	0	Blusey OD	
72	80	0	Stacc.Heaven	
73	80	0	PhaseBlipper	
74	80	0	Pure Tibet	
75	80	0	Afterlife	
76	80	0	Perky B	
77	80	0	JUNO Power!	
78	80	0	SessionBrass	
79	80	0	JX SqrCarpet	
80	80	0	Phaser MC	
81	80	0	Sweep Clav 2	
82	80	0	BluesHarp	
83	80	0	Scat Flute	
84	80	0	5thPad 2	
85	80	0	Belfry Chime	
86	80	0	Atmos Harp	
87	80	0	DesertCrystl	
88	80	0	December Sky	
89	80	0	Upright Pno	
90	80	0	Darkshine	
91	80	0	Exotic Velo	
92	80	0	Atlantis 2	
93	80	0	Creamy	
94	80	0	Morning Lite	
95	80	0	DanceStack 5	
96	80	0	D50FantaPerc	
97	80	0	Resojuice	
98	80	0	Silicon Str	
99	80	0	Keep :-)	
100	80	0	Sm.Brass Grp	
101	80	0	Echo Piano	
102	80	0	HeavenlyPad	
103	80	0	Sequalog	
104	80	0	Solo Steel	
105	80	0	Spectrum Mod	
106	80	0	Delicate EP	
107	80	0	Triumph Brs	
108	80	0	Flute	
109	80	0	2.2 Bell Pad	
110	80	0	JustLovely 2	
111	80	0	GR500 TmpDly	
112	80	0	Dawn 2 Dusk	
113	80	0	Gluey Pad	
114	80	0	SquareKeys 3	
115	80	0	Arasian Morn	
116	80	0	D'light	
117	80	0	Perky Noize	
118	80	0	Mod DirtyWav	
119	80	0	Moving Glass	
120	80	0	Sci-Fi Str	
121	80	0	OD 5ths	
122	80	0	Far East	
123	80	0	Phobos	
124	80	0	Cyber Dreams	
125	80	0	Cave 2	
126	80	0	Helium Queen	
127	80	0	Rain Forest	
128	80	0	Crowds	